,ROC_AUC,PR_AUC,F1
PlainCNN,0.7432053522107931,0.7229968381905247,0.6729718980686591
RandomForest,0.7507103931672733,0.7570338395458525,0.6566186511155145
SVM,0.761544028586746,0.7660998459630972,0.23257437580179252
LogReg,0.7617090774562851,0.7662145485081846,0.6723533333672633
XGBoost,0.7645191214414904,0.7715893761500026,0.6728043435867435
MusiteDeep(reimpl),0.7895697920011303,0.794248288651678,0.7055278722568061
DeepPhos(reimpl),0.795461855874089,0.8004026226576217,0.7072217518851766
LitePhospho-ESM2,0.7913248358406026,0.8036452558762803,0.6879589033164729
LitePhospho,0.7995158651665794,0.8046851733185525,0.7055842677385882
LitePhospho-ESM2-fair,0.8042363417687081,0.8132127119803264,0.7060040347769097
